Date,failure_prob,topicid45_Power_preprocessed_Trend,topicid45_Voltage_preprocessed_Trend,topicid45_Current_preprocessed_Trend
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.771388297959536,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-8.984193404253908,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-1.2828842731545063,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-5.092800826540367,0
03/02/2025,1,0,-8.040079493603812,0
03/02/2025,1,0,-12.084734165470838,0
03/02/2025,1,0,-11.733919096076516,0
03/02/2025,1,0,-3.5734159358156656,0
03/02/2025,1,0,-4.933613017391767,0
03/02/2025,1,0,-5.337374678696502,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-3.0985419981068443,0
03/02/2025,1,0,-13.184787385227946,0
03/02/2025,1,0,-8.822649263990467,0
03/02/2025,1,0,-1.6343324800670107,0
03/02/2025,1,0,-6.577221713162209,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-11.003126289071012,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-12.084734165470838,0
03/02/2025,1,0,-8.040079493603812,0
03/02/2025,1,0,-8.7246957640535,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-6.577221713162209,0
03/02/2025,1,0,-8.7246957640535,0
03/02/2025,1,0,-8.263523883499262,0
03/02/2025,1,0,-9.771388297959536,0
03/02/2025,1,0,-13.578065425074863,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-9.093807898017008,0
03/02/2025,1,0,-11.418111724511977,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-10.913227238525392,0
03/02/2025,1,0,-10.913227238525392,0
03/02/2025,1,0,-11.677068495658943,0
03/02/2025,0,0,0,0
03/02/2025,1,0,-7.583397177781455,0
